x,y,z,intensity
-4.8000,-4.8000,0.0390,0.5526
-4.8000,-4.6800,0.0470,0.5511
-4.8000,-4.5600,0.0538,0.5558
-4.8000,-4.4400,0.0590,0.5649
-4.8000,-4.3200,0.0624,0.5655
-4.8000,-4.2000,0.0640,0.5359
-4.8000,-4.0800,0.0636,0.5667
-4.8000,-3.9600,0.0613,0.5478
-4.8000,-3.8400,0.0571,0.5501
-4.8000,-3.7200,0.0511,0.5206
-4.8000,-3.6000,0.0435,0.5559
-4.8000,-3.4800,0.0346,0.5497
-4.8000,-3.3600,0.0246,0.5136
-4.8000,-3.2400,0.0137,0.5059
-4.8000,-3.1200,0.0023,0.4941
-4.8000,-3.0000,-0.0094,0.4950
-4.8000,-2.8800,-0.0210,0.4782
-4.8000,-2.7600,-0.0325,0.4838
-4.8000,-2.6400,-0.0434,0.4534
-4.8000,-2.5200,-0.0537,0.4656
-4.8000,-2.4000,-0.0632,0.4423
-4.8000,-2.2800,-0.0717,0.4193
-4.8000,-2.1600,-0.0793,0.4450
-4.8000,-2.0400,-0.0858,0.4076
-4.8000,-1.9200,-0.0913,0.4453
-4.8000,-1.8000,-0.0958,0.4347
-4.8000,-1.6800,-0.0993,0.4204
-4.8000,-1.5600,-0.1020,0.4367
-4.8000,-1.4400,-0.1038,0.4370
-4.8000,-1.3200,-0.1050,0.4037
-4.8000,-1.2000,-0.1055,0.4203
-4.8000,-1.0800,-0.1057,0.4289
-4.8000,-0.9600,-0.1054,0.4189
-4.8000,-0.8400,-0.1049,0.4372
-4.8000,-0.7200,-0.1043,0.4033
-4.8000,-0.6000,-0.1036,0.4145
-4.8000,-0.4800,-0.1029,0.3958
-4.8000,-0.3600,-0.1023,0.4368
-4.8000,-0.2400,-0.1018,0.4305
-4.8000,-0.1200,-0.1015,0.4142
-4.8000,0.0000,-0.1014,0.4308
-4.8000,0.1200,-0.1015,0.4170
-4.8000,0.2400,-0.1018,0.4162
-4.8000,0.3600,-0.1023,0.4086
-4.8000,0.4800,-0.1029,0.3938
-4.8000,0.6000,-0.1036,0.4388
-4.8000,0.7200,-0.1043,0.4008
-4.8000,0.8400,-0.1049,0.4064
-4.8000,0.9600,-0.1054,0.4334
-4.8000,1.0800,-0.1057,0.4102
-4.8000,1.2000,-0.1055,0.4393
-4.8000,1.3200,-0.1050,0.4049
-4.8000,1.4400,-0.1038,0.4217
-4.8000,1.5600,-0.1020,0.4047
-4.8000,1.6800,-0.0993,0.4102
-4.8000,1.8000,-0.0958,0.4053
-4.8000,1.9200,-0.0913,0.4223
-4.8000,2.0400,-0.0858,0.4449
-4.8000,2.1600,-0.0793,0.4306
-4.8000,2.2800,-0.0717,0.4575
-4.8000,2.4000,-0.0632,0.4327
-4.8000,2.5200,-0.0537,0.4695
-4.8000,2.6400,-0.0434,0.4621
-4.8000,2.7600,-0.0325,0.4786
-4.8000,2.8800,-0.0210,0.5039
-4.8000,3.0000,-0.0094,0.5139
-4.8000,3.1200,0.0023,0.4849
-4.8000,3.2400,0.0137,0.5287
-4.8000,3.3600,0.0246,0.5313
-4.8000,3.4800,0.0346,0.5459
-4.8000,3.6000,0.0435,0.5296
-4.8000,3.7200,0.0511,0.5510
-4.8000,3.8400,0.0571,0.5485
-4.8000,3.9600,0.0613,0.5572
-4.8000,4.0800,0.0636,0.5456
-4.8000,4.2000,0.0640,0.5469
-4.8000,4.3200,0.0624,0.5436
-4.8000,4.4400,0.0590,0.5466
-4.8000,4.5600,0.0538,0.5392
-4.8000,4.6800,0.0470,0.5192
-4.6800,-4.8000,0.0470,0.5580
-4.6800,-4.6800,0.0539,0.5199
-4.6800,-4.5600,0.0592,0.5333
-4.6800,-4.4400,0.0626,0.5253
-4.6800,-4.3200,0.0641,0.5648
-4.6800,-4.2000,0.0634,0.5524
-4.6800,-4.0800,0.0606,0.5582
-4.6800,-3.9600,0.0559,0.5264
-4.6800,-3.8400,0.0492,0.5397
-4.6800,-3.7200,0.0409,0.5428
-4.6800,-3.6000,0.0312,0.5030
-4.6800,-3.4800,0.0203,0.4949
-4.6800,-3.3600,0.0086,0.4881
-4.6800,-3.2400,-0.0036,0.4770
-4.6800,-3.1200,-0.0160,0.4860
-4.6800,-3.0000,-0.0283,0.4878
-4.6800,-2.8800,-0.0403,0.4672
-4.6800,-2.7600,-0.0516,0.4392
-4.6800,-2.6400,-0.0620,0.4275
-4.6800,-2.5200,-0.0715,0.4533
-4.6800,-2.4000,-0.0799,0.4405
-4.6800,-2.2800,-0.0870,0.4233
-4.6800,-2.1600,-0.0930,0.4447
-4.6800,-2.0400,-0.0977,0.4107
-4.6800,-1.9200,-0.1012,0.4288
-4.6800,-1.8000,-0.1037,0.4212
-4.6800,-1.6800,-0.1051,0.4077
-4.6800,-1.5600,-0.1056,0.4231
-4.6800,-1.4400,-0.1054,0.3925
-4.6800,-1.3200,-0.1046,0.3975
-4.6800,-1.2000,-0.1033,0.4416
-4.6800,-1.0800,-0.1016,0.4202
-4.6800,-0.9600,-0.0997,0.4390
-4.6800,-0.8400,-0.0977,0.4327
-4.6800,-0.7200,-0.0958,0.4345
-4.6800,-0.6000,-0.0940,0.4246
-4.6800,-0.4800,-0.0924,0.4451
-4.6800,-0.3600,-0.0910,0.4224
-4.6800,-0.2400,-0.0900,0.4060
-4.6800,-0.1200,-0.0894,0.4091
-4.6800,0.0000,-0.0892,0.4404
-4.6800,0.1200,-0.0894,0.4059
-4.6800,0.2400,-0.0900,0.4265
-4.6800,0.3600,-0.0910,0.4286
-4.6800,0.4800,-0.0924,0.4066
-4.6800,0.6000,-0.0940,0.4330
-4.6800,0.7200,-0.0958,0.4148
-4.6800,0.8400,-0.0977,0.4157
-4.6800,0.9600,-0.0997,0.4134
-4.6800,1.0800,-0.1016,0.4415
-4.6800,1.2000,-0.1033,0.3982
-4.6800,1.3200,-0.1046,0.4184
-4.6800,1.4400,-0.1054,0.3995
-4.6800,1.5600,-0.1056,0.3941
-4.6800,1.6800,-0.1051,0.4110
-4.6800,1.8000,-0.1037,0.4031
-4.6800,1.9200,-0.1012,0.4121
-4.6800,2.0400,-0.0977,0.4098
-4.6800,2.1600,-0.0930,0.4321
-4.6800,2.2800,-0.0870,0.4057
-4.6800,2.4000,-0.0799,0.4125
-4.6800,2.5200,-0.0715,0.4421
-4.6800,2.6400,-0.0620,0.4551
-4.6800,2.7600,-0.0516,0.4550
-4.6800,2.8800,-0.0403,0.4689
-4.6800,3.0000,-0.0283,0.4820
-4.6800,3.1200,-0.0160,0.4891
-4.6800,3.2400,-0.0036,0.5134
