x,y,z,intensity
-4.8000,-4.8000,0.0390,0.5181
-4.8000,-4.6800,0.0470,0.5374
-4.8000,-4.5600,0.0538,0.5662
-4.8000,-4.4400,0.0590,0.5667
-4.8000,-4.3200,0.0624,0.5699
-4.8000,-4.2000,0.0640,0.5602
-4.8000,-4.0800,0.0636,0.5473
-4.8000,-3.9600,0.0613,0.5241
-4.8000,-3.8400,0.0571,0.5341
-4.8000,-3.7200,0.0511,0.5378
-4.8000,-3.6000,0.0435,0.5467
-4.8000,-3.4800,0.0346,0.5270
-4.8000,-3.3600,0.0246,0.5004
-4.8000,-3.2400,0.0137,0.5150
-4.8000,-3.1200,0.0023,0.4787
-4.8000,-3.0000,-0.0094,0.4975
-4.8000,-2.8800,-0.0210,0.4854
-4.8000,-2.7600,-0.0325,0.4853
-4.8000,-2.6400,-0.0434,0.4648
-4.8000,-2.5200,-0.0537,0.4539
-4.8000,-2.4000,-0.0632,0.4700
-4.8000,-2.2800,-0.0717,0.4499
-4.8000,-2.1600,-0.0793,0.4228
-4.8000,-2.0400,-0.0858,0.4310
-4.8000,-1.9200,-0.0913,0.4340
-4.8000,-1.8000,-0.0958,0.4465
-4.8000,-1.6800,-0.0993,0.4197
-4.8000,-1.5600,-0.1020,0.4272
-4.8000,-1.4400,-0.1038,0.4321
-4.8000,-1.3200,-0.1050,0.3937
-4.8000,-1.2000,-0.1055,0.4391
-4.8000,-1.0800,-0.1057,0.4383
-4.8000,-0.9600,-0.1054,0.4250
-4.8000,-0.8400,-0.1049,0.4345
-4.8000,-0.7200,-0.1043,0.4225
-4.8000,-0.6000,-0.1036,0.4375
-4.8000,-0.4800,-0.1029,0.4083
-4.8000,-0.3600,-0.1023,0.4312
-4.8000,-0.2400,-0.1018,0.4336
-4.8000,-0.1200,-0.1015,0.4104
-4.8000,0.0000,-0.1014,0.4080
-4.8000,0.1200,-0.1015,0.3998
-4.8000,0.2400,-0.1018,0.4311
-4.8000,0.3600,-0.1023,0.4418
-4.8000,0.4800,-0.1029,0.4178
-4.8000,0.6000,-0.1036,0.4354
-4.8000,0.7200,-0.1043,0.4294
-4.8000,0.8400,-0.1049,0.4310
-4.8000,0.9600,-0.1054,0.4258
-4.8000,1.0800,-0.1057,0.4116
-4.8000,1.2000,-0.1055,0.3936
-4.8000,1.3200,-0.1050,0.4085
-4.8000,1.4400,-0.1038,0.4076
-4.8000,1.5600,-0.1020,0.4031
-4.8000,1.6800,-0.0993,0.4141
-4.8000,1.8000,-0.0958,0.4315
-4.8000,1.9200,-0.0913,0.4333
-4.8000,2.0400,-0.0858,0.4097
-4.8000,2.1600,-0.0793,0.4475
-4.8000,2.2800,-0.0717,0.4673
-4.8000,2.4000,-0.0632,0.4616
-4.8000,2.5200,-0.0537,0.4534
-4.8000,2.6400,-0.0434,0.4586
-4.8000,2.7600,-0.0325,0.4568
-4.8000,2.8800,-0.0210,0.5040
-4.8000,3.0000,-0.0094,0.5170
-4.8000,3.1200,0.0023,0.4982
-4.8000,3.2400,0.0137,0.5050
-4.8000,3.3600,0.0246,0.5301
-4.8000,3.4800,0.0346,0.5298
-4.8000,3.6000,0.0435,0.5360
-4.8000,3.7200,0.0511,0.5492
-4.8000,3.8400,0.0571,0.5466
-4.8000,3.9600,0.0613,0.5556
-4.8000,4.0800,0.0636,0.5363
-4.8000,4.2000,0.0640,0.5731
-4.8000,4.3200,0.0624,0.5402
-4.8000,4.4400,0.0590,0.5663
-4.8000,4.5600,0.0538,0.5268
-4.8000,4.6800,0.0470,0.5534
-4.6800,-4.8000,0.0470,0.5481
-4.6800,-4.6800,0.0539,0.5610
-4.6800,-4.5600,0.0592,0.5601
-4.6800,-4.4400,0.0626,0.5424
-4.6800,-4.3200,0.0641,0.5269
-4.6800,-4.2000,0.0634,0.5385
-4.6800,-4.0800,0.0606,0.5235
-4.6800,-3.9600,0.0559,0.5358
-4.6800,-3.8400,0.0492,0.5342
-4.6800,-3.7200,0.0409,0.5200
-4.6800,-3.6000,0.0312,0.5244
-4.6800,-3.4800,0.0203,0.5302
-4.6800,-3.3600,0.0086,0.5237
-4.6800,-3.2400,-0.0036,0.4822
-4.6800,-3.1200,-0.0160,0.4740
-4.6800,-3.0000,-0.0283,0.4899
-4.6800,-2.8800,-0.0403,0.4914
-4.6800,-2.7600,-0.0516,0.4458
-4.6800,-2.6400,-0.0620,0.4289
-4.6800,-2.5200,-0.0715,0.4317
-4.6800,-2.4000,-0.0799,0.4555
-4.6800,-2.2800,-0.0870,0.4451
-4.6800,-2.1600,-0.0930,0.4134
-4.6800,-2.0400,-0.0977,0.4261
-4.6800,-1.9200,-0.1012,0.4063
-4.6800,-1.8000,-0.1037,0.4075
-4.6800,-1.6800,-0.1051,0.3983
-4.6800,-1.5600,-0.1056,0.4116
-4.6800,-1.4400,-0.1054,0.4091
-4.6800,-1.3200,-0.1046,0.3945
-4.6800,-1.2000,-0.1033,0.4375
-4.6800,-1.0800,-0.1016,0.4365
-4.6800,-0.9600,-0.0997,0.4207
-4.6800,-0.8400,-0.0977,0.3983
-4.6800,-0.7200,-0.0958,0.4007
-4.6800,-0.6000,-0.0940,0.4343
-4.6800,-0.4800,-0.0924,0.4156
-4.6800,-0.3600,-0.0910,0.4230
-4.6800,-0.2400,-0.0900,0.4137
-4.6800,-0.1200,-0.0894,0.4135
-4.6800,0.0000,-0.0892,0.4498
-4.6800,0.1200,-0.0894,0.4435
-4.6800,0.2400,-0.0900,0.4406
-4.6800,0.3600,-0.0910,0.4471
-4.6800,0.4800,-0.0924,0.4188
-4.6800,0.6000,-0.0940,0.4321
-4.6800,0.7200,-0.0958,0.4456
-4.6800,0.8400,-0.0977,0.4460
-4.6800,0.9600,-0.0997,0.4202
-4.6800,1.0800,-0.1016,0.4026
-4.6800,1.2000,-0.1033,0.3977
-4.6800,1.3200,-0.1046,0.4156
-4.6800,1.4400,-0.1054,0.4337
-4.6800,1.5600,-0.1056,0.3911
-4.6800,1.6800,-0.1051,0.3988
-4.6800,1.8000,-0.1037,0.4392
-4.6800,1.9200,-0.1012,0.4386
-4.6800,2.0400,-0.0977,0.4141
-4.6800,2.1600,-0.0930,0.4432
-4.6800,2.2800,-0.0870,0.4331
-4.6800,2.4000,-0.0799,0.4187
-4.6800,2.5200,-0.0715,0.4387
-4.6800,2.6400,-0.0620,0.4517
-4.6800,2.7600,-0.0516,0.4594
-4.6800,2.8800,-0.0403,0.4653
-4.6800,3.0000,-0.0283,0.4531
-4.6800,3.1200,-0.0160,0.4952
-4.6800,3.2400,-0.0036,0.5127
-4.6800,3.3600,0.0086,0.4872
-4.6800,3.4800,0.0203,0.5024
-4.6800,3.6000,0.0312,0.5198
-4.6800,3.7200,0.0409,0.5415
-4.6800,3.8400,0.0492,0.5386
-4.6800,3.9600,0.0559,0.5247
-4.6800,4.0800,0.0606,0.5604
-4.6800,4.2000,0.0634,0.5644
-4.6800,4.3200,0.0641,0.5715
-4.6800,4.4400,0.0626,0.5655
-4.6800,4.5600,0.0592,0.5418
-4.6800,4.6800,0.0539,0.5653
-4.5600,-4.8000,0.0538,0.5442
-4.5600,-4.6800,0.0592,0.5250
-4.5600,-4.5600,0.0627,0.5505
-4.5600,-4.4400,0.0641,0.5270
-4.5600,-4.3200,0.0632,0.5580
-4.5600,-4.2000,0.0602,0.5460
-4.5600,-4.0800,0.0550,0.5272
-4.5600,-3.9600,0.0478,0.5428
-4.5600,-3.8400,0.0389,0.5095
-4.5600,-3.7200,0.0284,0.5343
-4.5600,-3.6000,0.0168,0.4943
-4.5600,-3.4800,0.0043,0.5232
-4.5600,-3.3600,-0.0087,0.5003
-4.5600,-3.2400,-0.0218,0.4812
-4.5600,-3.1200,-0.0347,0.4550
-4.5600,-3.0000,-0.0470,0.4683
-4.5600,-2.8800,-0.0586,0.4432
-4.5600,-2.7600,-0.0692,0.4302
-4.5600,-2.6400,-0.0785,0.4258
-4.5600,-2.5200,-0.0865,0.4174
-4.5600,-2.4000,-0.0931,0.4295
-4.5600,-2.2800,-0.0983,0.3992
-4.5600,-2.1600,-0.1020,0.4308
-4.5600,-2.0400,-0.1044,0.4150
-4.5600,-1.9200,-0.1055,0.3978
-4.5600,-1.8000,-0.1055,0.4061
-4.5600,-1.6800,-0.1045,0.3936
-4.5600,-1.5600,-0.1026,0.4254
-4.5600,-1.4400,-0.1001,0.4388
-4.5600,-1.3200,-0.0970,0.4069
-4.5600,-1.2000,-0.0936,0.4111
-4.5600,-1.0800,-0.0900,0.4112
-4.5600,-0.9600,-0.0864,0.4231
-4.5600,-0.8400,-0.0829,0.4248
-4.5600,-0.7200,-0.0797,0.4563
-4.5600,-0.6000,-0.0767,0.4225
-4.5600,-0.4800,-0.0742,0.4356
-4.5600,-0.3600,-0.0721,0.4341
-4.5600,-0.2400,-0.0706,0.4310
-4.5600,-0.1200,-0.0697,0.4624
-4.5600,0.0000,-0.0694,0.4568
-4.5600,0.1200,-0.0697,0.4453
-4.5600,0.2400,-0.0706,0.4426
-4.5600,0.3600,-0.0721,0.4588
-4.5600,0.4800,-0.0742,0.4275
-4.5600,0.6000,-0.0767,0.4317
